"id","parent_id","facility_level","facility_code","facility_name","type","create_by","create_time","update_by","update_time","remark","is_del","facility_type"
1695,1618,3,"4P1.1S1.UN","4P1.1S1.UN",3,admin,"2020-11-18 10:00:16",,,"2#入窑斗提1#主传柜",0,0
1696,1618,3,"4P1.1S1.UP","4P1.1S1.UP",3,admin,"2020-11-18 10:00:16",,,"2#入窑斗提2#主传柜",0,0
1697,1618,3,"4P1.1S2.UA","4P1.1S2.UA",3,admin,"2020-11-18 10:00:16",,,煤磨主传电机柜,0,0
1698,1618,3,"4P1.1S2.UC","4P1.1S2.UC",3,admin,"2020-11-18 10:00:16",,,B11冷却风机柜,0,0
1699,1618,3,"4P1.1S2.UD","4P1.1S2.UD",3,admin,"2020-11-18 10:00:16",,,A12冷却风机柜,0,0
1700,1618,3,"4P1.1S2.UE","4P1.1S2.UE",3,admin,"2020-11-18 10:00:16",,,B13冷却风机柜,0,0
1701,1618,3,"4P1.1S2.UF","4P1.1S2.UF",3,admin,"2020-11-18 10:00:17",,,C12冷却风机柜,0,0
1702,1618,3,"4P1.1S2.UG","4P1.1S2.UG",3,admin,"2020-11-18 10:00:17",,,A13冷却风机柜,0,0
1703,1618,3,"4P1.1S2.UH","4P1.1S2.UH",3,admin,"2020-11-18 10:00:17",,,B14冷却风机柜,0,0
1704,1618,3,"4P1.1S2.UI","4P1.1S2.UI",3,admin,"2020-11-18 10:00:17",,,C13冷却风机柜,0,0
1705,1618,3,"4P1.1S2.UJ","4P1.1S2.UJ",3,admin,"2020-11-18 10:00:17",,,B18冷却风机柜,0,0
1706,1618,3,"4P1.1S2.UK","4P1.1S2.UK",3,admin,"2020-11-18 10:00:17",,,B21冷却风机柜,0,0
1707,1618,3,"4P1.1S2.UL","4P1.1S2.UL",3,admin,"2020-11-18 10:00:17",,,窑头电气室变压器1柜,0,0
1708,1618,3,"4P1.1S2.UM","4P1.1S2.UM",3,admin,"2020-11-18 10:00:17",,,窑头电气室变压器2柜,0,0
1709,1618,3,"4P1.1S2.UN","4P1.1S2.UN",3,admin,"2020-11-18 10:00:17",,,煤磨电气室变压器柜,0,0
